Date,Day_of_the_week,App_(Use_all_CAPITALS),Minutes,Category
8/27,Sunday,TIKTOK,93 minutes,Entertainment
8/27,Sunday,INSTAGRAM,77minutes,Social Media
8/27,Sunday,X,9 minutes,Social Media
8/27,Sunday,MESSAGES,72 minutes,Entertainment
8/27,Sunday,SAFARI,6 minutes,Other
8/28,Monday,DISCORD,49 minutes,Social Media
8/28,Monday,Youtube,66 minutes,Entertainment
8/28,Monday,INSTAGRAM,28 minutes,Social Media
8/28,Monday,MESSAGES,17 minutes,Entertainment
8/28,Monday,SNAPCHAT,11 minutes,Social Media
8/28,Monday,NOTES,9 minutes,Other
8/29,Tuesday,DISCORD,67 minutes,Entertainment
8/29,Tuesday,TIKTOK ,95 minutes,Entertainment
8/29,Tuesday,SNAPCHAT,20 minutes,Social Media
8/29,Tuesday,SAFARI,12 minutes,Other
8/29,Tuesday,CALCULATOR,9 minutes,Education
8/30,Wednesday,TIKTOK,120 minutes,Social Media
8/30,Wednesday,DISCORD,65 minutes,Entertainment
8/30,Wednesday,MESSAGES,72 minutes,Other
8/30,Wednesday,CALCULATOR,21 minutes,Education
8/30,Wednesday,SNAPCHAT,21 minutes,Social Media
8/30,Wednesday,YOUTUBE,16 minutes,Entertainment
8/31,Thursday,DISCORD,75 minutes,Entertainment
8/31,Thursday,TIKTOK,120 minutes,Entertainment
8/31,Thursday,MESSAGES,32 minutes,Entertainment
8/31,Thursday,CALCULATOR,29 minutes,Education
8/31,Thursday,INSTAGRAM,22 minutes,Social Media
8/31,Thursday,SNAPCHAT,16 minutes,Social Media
9/1,Friday,TIKTOK,73 minutes,Education
9/1,Friday,DISCORD,49 Minutes,Entertainment
9/1,Friday,MESSAGES,21 minutes,Entertainment
9/1,Friday,SNAPCHAT,20 minutes,Social Media
9/1,Friday,INSTAGRAM,20 minutes,Social Media
9/1,Friday,SAFARI,14 minutes,Other
9/2,Saturday,TIKTOK,73 minutes,Entertainment
9/2,Saturday,SNAPCHAT,34 minutes,Social Media
9/2,Saturday,INSTAGRAM,21 minutes,Social Media
9/2,Saturday,MESSAGES,18 minutes,Entertainment
9/2,Saturday,DISCORD,8 minutes,Entertainment
9/2,Saturday,YOUTUBE,5 minutes,Education